"","Period","County","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW"
"1","2009-2010","Albany",2009-10-10,4,0,0,0,0
"2","2009-2010","Allegany",2009-10-10,1,0,0,0,0
"3","2009-2010","Bronx",2009-10-10,17,0,0,0,0
"4","2009-2010","Broome",2009-10-10,2,0,0,0,0
"5","2009-2010","Cattaraugus",2009-10-10,0,0,0,0,0
"6","2009-2010","Cayuga",2009-10-10,0,0,0,0,0
"7","2009-2010","Chautauqua",2009-10-10,4,0,0,0,0
"8","2009-2010","Chemung",2009-10-10,0,0,0,0,0
"9","2009-2010","Chenango",2009-10-10,0,0,0,0,0
"10","2009-2010","Clinton",2009-10-10,4,0,0,0,0
"111009","2009-2010","Columbia",2009-10-10,2,0,0,0,0
"121010","2009-2010","Cortland",2009-10-10,0,0,0,0,0
"131011","2009-2010","Delaware",2009-10-10,1,0,0,0,0
"141012","2009-2010","Dutchess",2009-10-10,1,0,0,0,0
"151013","2009-2010","Erie",2009-10-10,36,0,0,0,0
"161014","2009-2010","Essex",2009-10-10,0,0,0,0,0
"17770","2009-2010","Franklin",2009-10-10,0,0,0,0,0
"18132","2009-2010","Fulton",2009-10-10,1,0,0,0,0
"19134","2009-2010","Genesee",2009-10-10,1,0,0,0,0
"20","2009-2010","Greene",2009-10-10,0,0,0,0,0
"21","2009-2010","Hamilton",2009-10-10,0,0,0,0,0
"22","2009-2010","Herkimer",2009-10-10,18,0,0,0,0
"23","2009-2010","Jefferson",2009-10-10,3,0,0,0,0
"24","2009-2010","Kings",2009-10-10,15,0,0,0,0
"25","2009-2010","Lewis",2009-10-10,8,0,0,0,0
"26","2009-2010","Livingston",2009-10-10,1,0,0,0,0
"27","2009-2010","Madison",2009-10-10,5,0,0,0,0
"28","2009-2010","Monroe",2009-10-10,10,0,0,0,0
"29","2009-2010","Montgomery",2009-10-10,3,0,0,0,0
"30","2009-2010","Nassau",2009-10-10,18,0,0,0,0
"31","2009-2010","New york",2009-10-10,31,0,0,0,0
"32","2009-2010","Niagara",2009-10-10,2,0,0,0,0
"33","2009-2010","Oneida",2009-10-10,20,0,0,0,0
"34","2009-2010","Onondaga",2009-10-10,16,0,0,0,0
"35","2009-2010","Ontario",2009-10-10,6,0,0,0,0
"36","2009-2010","Orange",2009-10-10,2,0,0,0,0
"37","2009-2010","Orleans",2009-10-10,0,0,0,0,0
"38","2009-2010","Oswego",2009-10-10,11,0,0,0,0
"39","2009-2010","Otsego",2009-10-10,0,0,0,0,0
"40","2009-2010","Putnam",2009-10-10,0,0,0,0,0
"41","2009-2010","Queens",2009-10-10,20,0,0,0,0
"42","2009-2010","Rensselaer",2009-10-10,1,0,0,0,0
"43","2009-2010","Richmond",2009-10-10,6,0,0,0,0
"44","2009-2010","Rockland",2009-10-10,2,0,0,0,0
"45","2009-2010","Saratoga",2009-10-10,1,0,0,0,0
"46","2009-2010","Schenectady",2009-10-10,8,0,0,0,0
"47","2009-2010","Schoharie",2009-10-10,1,0,0,0,0
"48","2009-2010","Schuyler",2009-10-10,0,0,0,0,0
"49","2009-2010","Seneca",2009-10-10,0,0,0,0,0
"51","2009-2010","Steuben",2009-10-10,4,0,0,0,0
"50","2009-2010","St lawrence",2009-10-10,2,0,0,0,0
"52","2009-2010","Suffolk",2009-10-10,14,0,0,0,0
"53","2009-2010","Sullivan",2009-10-10,0,0,0,0,0
"54","2009-2010","Tioga",2009-10-10,0,0,0,0,0
"55","2009-2010","Tompkins",2009-10-10,4,0,0,0,0
"56","2009-2010","Ulster",2009-10-10,0,0,0,0,0
"57","2009-2010","Warren",2009-10-10,0,0,0,0,0
"58","2009-2010","Washington",2009-10-10,0,0,0,0,0
"59","2009-2010","Wayne",2009-10-10,2,0,0,0,0
"60","2009-2010","Westchester",2009-10-10,5,0,0,0,0
"61","2009-2010","Wyoming",2009-10-10,0,0,0,0,0
"62","2009-2010","Yates",2009-10-10,0,0,0,0,0
"63","2009-2010","Albany",2009-10-17,11,0,0,0,0
"64","2009-2010","Allegany",2009-10-17,1,0,0,0,0
"65","2009-2010","Bronx",2009-10-17,14,0,0,0,0
"66","2009-2010","Broome",2009-10-17,7,0,0,0,0
"67","2009-2010","Cattaraugus",2009-10-17,3,0,0,0,0
"68","2009-2010","Cayuga",2009-10-17,5,0,0,0,0
"69","2009-2010","Chautauqua",2009-10-17,10,0,0,0,0
"70","2009-2010","Chemung",2009-10-17,2,0,0,0,0
"71","2009-2010","Chenango",2009-10-17,0,0,0,0,0
"72","2009-2010","Clinton",2009-10-17,3,0,0,0,0
"73","2009-2010","Columbia",2009-10-17,4,0,0,0,0
"74","2009-2010","Cortland",2009-10-17,0,0,0,0,0
"75","2009-2010","Delaware",2009-10-17,1,0,0,0,0
"76","2009-2010","Dutchess",2009-10-17,5,0,0,0,0
"77","2009-2010","Erie",2009-10-17,149,0,0,0,0
"78","2009-2010","Essex",2009-10-17,4,0,0,0,0
"79","2009-2010","Franklin",2009-10-17,3,0,0,0,0
"80","2009-2010","Fulton",2009-10-17,0,0,0,0,0
"81","2009-2010","Genesee",2009-10-17,3,0,0,0,0
"82","2009-2010","Greene",2009-10-17,3,0,0,0,0
"83","2009-2010","Hamilton",2009-10-17,0,0,0,0,0
"84","2009-2010","Herkimer",2009-10-17,23,0,0,0,0
"85","2009-2010","Jefferson",2009-10-17,2,0,0,0,0
"86","2009-2010","Kings",2009-10-17,16,0,0,0,0
"87","2009-2010","Lewis",2009-10-17,7,0,0,0,0
"88","2009-2010","Livingston",2009-10-17,4,0,0,0,0
"89","2009-2010","Madison",2009-10-17,4,0,0,0,0
"90","2009-2010","Monroe",2009-10-17,29,0,0,0,0
"91","2009-2010","Montgomery",2009-10-17,1,0,0,0,0
"92","2009-2010","Nassau",2009-10-17,36,0,0,0,0
"93","2009-2010","New york",2009-10-17,20,0,0,0,0
"94","2009-2010","Niagara",2009-10-17,8,0,0,0,0
"95","2009-2010","Oneida",2009-10-17,80,0,0,0,0
"96","2009-2010","Onondaga",2009-10-17,14,0,0,0,0
"97","2009-2010","Ontario",2009-10-17,4,0,0,0,0
"98","2009-2010","Orange",2009-10-17,2,0,0,0,0
"99","2009-2010","Orleans",2009-10-17,0,0,0,0,0
"100","2009-2010","Oswego",2009-10-17,17,0,0,0,0
"101","2009-2010","Otsego",2009-10-17,0,0,0,0,0
"102","2009-2010","Putnam",2009-10-17,4,0,0,0,0
"103","2009-2010","Queens",2009-10-17,15,0,0,0,0
"104","2009-2010","Rensselaer",2009-10-17,8,0,0,0,0
"105","2009-2010","Richmond",2009-10-17,2,0,0,0,0
"106","2009-2010","Rockland",2009-10-17,2,0,0,0,0
"107","2009-2010","Saratoga",2009-10-17,8,0,0,0,0
"108","2009-2010","Schenectady",2009-10-17,12,0,0,0,0
"109","2009-2010","Schoharie",2009-10-17,0,0,0,0,0
"110192","2009-2010","Schuyler",2009-10-17,0,0,0,0,0
"111194","2009-2010","Seneca",2009-10-17,1,0,0,0,0
"113196","2009-2010","Steuben",2009-10-17,28,0,0,0,0
"112198","2009-2010","St lawrence",2009-10-17,1,0,0,0,0
"114200","2009-2010","Suffolk",2009-10-17,28,0,0,0,0
"115201","2009-2010","Sullivan",2009-10-17,0,0,0,0,0
"116202","2009-2010","Tioga",2009-10-17,0,0,0,0,0
"117203","2009-2010","Tompkins",2009-10-17,5,0,0,0,0
"118176","2009-2010","Ulster",2009-10-17,10,0,0,0,0
"119176","2009-2010","Warren",2009-10-17,6,0,0,0,0
"120177","2009-2010","Washington",2009-10-17,2,0,0,0,0
"121157","2009-2010","Wayne",2009-10-17,4,0,0,0,0
"122158","2009-2010","Westchester",2009-10-17,7,0,0,0,0
"123159","2009-2010","Wyoming",2009-10-17,0,0,0,0,0
"124160","2009-2010","Yates",2009-10-17,0,0,0,0,0
"125","2009-2010","Albany",2009-10-24,27,0,0,0,0
"126100","2009-2010","Allegany",2009-10-24,26,0,0,0,0
"127101","2009-2010","Bronx",2009-10-24,18,0,0,0,0
"128102","2009-2010","Broome",2009-10-24,94,0,0,0,0
"129103","2009-2010","Cattaraugus",2009-10-24,17,0,0,0,0
"130104","2009-2010","Cayuga",2009-10-24,15,0,0,0,0
"131105","2009-2010","Chautauqua",2009-10-24,50,0,0,0,0
"132106","2009-2010","Chemung",2009-10-24,16,0,0,0,0
"133107","2009-2010","Chenango",2009-10-24,3,0,0,0,0
"134108","2009-2010","Clinton",2009-10-24,14,0,0,0,0
"135109","2009-2010","Columbia",2009-10-24,5,0,0,0,0
"136110","2009-2010","Cortland",2009-10-24,0,0,0,0,0
"137111","2009-2010","Delaware",2009-10-24,10,0,0,0,0
"138112","2009-2010","Dutchess",2009-10-24,30,0,0,0,0
"139113","2009-2010","Erie",2009-10-24,336,0,0,0,0
"140114","2009-2010","Essex",2009-10-24,9,0,0,0,0
"141115","2009-2010","Franklin",2009-10-24,6,0,0,0,0
"142116","2009-2010","Fulton",2009-10-24,4,0,0,0,0
"143117","2009-2010","Genesee",2009-10-24,19,0,0,0,0
"144118","2009-2010","Greene",2009-10-24,0,0,0,0,0
"145119","2009-2010","Hamilton",2009-10-24,1,0,0,0,0
"146120","2009-2010","Herkimer",2009-10-24,25,0,0,0,0
"147121","2009-2010","Jefferson",2009-10-24,9,0,0,0,0
"148122","2009-2010","Kings",2009-10-24,24,0,0,0,0
"149123","2009-2010","Lewis",2009-10-24,10,0,0,0,0
"150124","2009-2010","Livingston",2009-10-24,18,0,0,0,0
"151125","2009-2010","Madison",2009-10-24,24,0,0,0,0
"152126","2009-2010","Monroe",2009-10-24,114,0,0,0,0
"153127","2009-2010","Montgomery",2009-10-24,12,0,0,0,0
"154128","2009-2010","Nassau",2009-10-24,94,0,0,0,0
"155129","2009-2010","New york",2009-10-24,47,0,0,0,0
"156130","2009-2010","Niagara",2009-10-24,54,0,0,0,0
"157131","2009-2010","Oneida",2009-10-24,224,0,0,0,0
"158132","2009-2010","Onondaga",2009-10-24,57,0,0,0,0
"159133","2009-2010","Ontario",2009-10-24,12,0,0,0,0
"160134","2009-2010","Orange",2009-10-24,8,0,0,0,0
"161135","2009-2010","Orleans",2009-10-24,0,0,0,0,0
"162136","2009-2010","Oswego",2009-10-24,39,0,0,0,0
"163137","2009-2010","Otsego",2009-10-24,14,0,0,0,0
"164138","2009-2010","Putnam",2009-10-24,9,0,0,0,0
"165139","2009-2010","Queens",2009-10-24,28,0,0,0,0
"166140","2009-2010","Rensselaer",2009-10-24,36,0,0,0,0
"167141","2009-2010","Richmond",2009-10-24,7,0,0,0,0
"168142","2009-2010","Rockland",2009-10-24,2,0,0,0,0
"169143","2009-2010","Saratoga",2009-10-24,37,0,0,0,0
"170144","2009-2010","Schenectady",2009-10-24,18,0,0,0,0
"171145","2009-2010","Schoharie",2009-10-24,2,0,0,0,0
"172146","2009-2010","Schuyler",2009-10-24,2,0,0,0,0
"173147","2009-2010","Seneca",2009-10-24,2,0,0,0,0
"175148","2009-2010","Steuben",2009-10-24,85,0,0,0,0
"174149","2009-2010","St lawrence",2009-10-24,13,0,0,0,0
"176150","2009-2010","Suffolk",2009-10-24,71,0,0,0,0
"177126","2009-2010","Sullivan",2009-10-24,0,0,0,0,0
"178102","2009-2010","Tioga",2009-10-24,3,0,0,0,0
"17963","2009-2010","Tompkins",2009-10-24,6,0,0,0,0
