Season,Region,County,CDC Week,Week Ending Date,Disease,Count,County Centroid,FIPS
2014-2015,NYC,BRONX,40,10/04/2014,INFLUENZA_B,0,"(40.8448, -73.8648)",36005
2015-2016,NYC,RICHMOND,43,10/31/2015,INFLUENZA_B,0,"(40.5795, -74.1502)",36085
2017-2018,NYC,RICHMOND,42,10/21/2017,INFLUENZA_B,0,"(40.5795, -74.1502)",36085
2011-2012,CAPITAL DISTRICT,HAMILTON,41,10/15/2011,INFLUENZA_B,0,"(43.6578786, -74.5024556)",36041
2009-2010,CENTRAL,JEFFERSON,48,12/05/2009,INFLUENZA_A,3,"(44.0607, -75.9928)",36045
2010-2011,CENTRAL,MADISON,51,12/25/2010,INFLUENZA_A,0,"(42.9100255, -75.6635749)",36053
2013-2014,CAPITAL DISTRICT,DELAWARE,19,05/10/2014,INFLUENZA_A,1,"(42.1939865, -74.966728)",36025
2009-2010,WESTERN,CHEMUNG,18,05/08/2010,INFLUENZA_A,0,"(42.1552807, -76.7471788)",36015
2011-2012,CAPITAL DISTRICT,FULTON,50,12/17/2011,INFLUENZA_A,0,"(43.1156093, -74.4236782)",36035
2012-2013,CENTRAL,MADISON,47,11/24/2012,INFLUENZA_UNSPECIFIED,0,"(42.9100255, -75.6635749)",36053
2012-2013,METRO,SULLIVAN,51,12/22/2012,INFLUENZA_UNSPECIFIED,0,"(41.7201763, -74.7646796)",36105
2011-2012,CAPITAL DISTRICT,SCHOHARIE,11,03/17/2012,INFLUENZA_UNSPECIFIED,0,"(42.591294, -74.4381718)",36095
2013-2014,METRO,ROCKLAND,8,02/22/2014,INFLUENZA_UNSPECIFIED,0,"(41.1547851, -74.0247721)",36087
2012-2013,CAPITAL DISTRICT,ESSEX,49,12/08/2012,INFLUENZA_A,0,"(44.1089711, -73.7775726)",36031
2011-2012,NYC,KINGS,41,10/15/2011,INFLUENZA_A,1,"(40.6782, -73.9442)",36047
2011-2012,CAPITAL DISTRICT,SCHENECTADY,17,04/28/2012,INFLUENZA_A,1,"(42.8175421, -74.0435834)",36093
2009-2010,CAPITAL DISTRICT,COLUMBIA,1,01/09/2010,INFLUENZA_B,0,"(42.2477286, -73.6268046)",36021
2009-2010,CAPITAL DISTRICT,ALBANY,43,10/31/2009,INFLUENZA_A,86,"(42.5882713, -73.9740136)",36001
2010-2011,METRO,SULLIVAN,11,03/19/2011,INFLUENZA_B,0,"(41.7201763, -74.7646796)",36105
