"","County","Period","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW","Latitude","Longitude"
"1","Albany","2009-2010",2009-10-10,4,0,0,0,0,42.5882713,-73.9740136
"2","Albany","2016-2017",2017-03-18,18,0,0,0,0,42.5882713,-73.9740136
"3","Albany","2012-2013",2013-06-29,0,0,0,0,0,42.5882713,-73.9740136
"4","Albany","2015-2016",2016-04-23,33,0,0,0,0,42.5882713,-73.9740136
"5","Albany","2011-2012",2012-08-04,0,0,0,0,0,42.5882713,-73.9740136
"6","Albany","2018-2019",2019-02-16,92,30,-62,6,-86,42.5882713,-73.9740136
"7","Albany","2010-2011",2010-10-16,0,0,0,0,0,42.5882713,-73.9740136
"8","Albany","2017-2018",2018-03-24,35,0,0,0,0,42.5882713,-73.9740136
"9","Albany","2009-2010",2009-11-21,29,0,0,0,0,42.5882713,-73.9740136
"10","Albany","2016-2017",2017-04-29,9,0,0,0,0,42.5882713,-73.9740136
"11","Albany","2012-2013",2013-08-10,0,0,0,0,0,42.5882713,-73.9740136
"12","Albany","2015-2016",2016-06-04,0,0,0,0,0,42.5882713,-73.9740136
"13","Albany","2011-2012",2011-10-22,0,0,0,0,0,42.5882713,-73.9740136
"14","Albany","2014-2015",2015-07-11,0,0,0,0,0,42.5882713,-73.9740136
"15","Albany","2010-2011",2010-11-27,0,0,0,0,0,42.5882713,-73.9740136
"16","Albany","2017-2018",2018-05-05,20,0,0,0,0,42.5882713,-73.9740136
"17","Albany","2009-2010",2010-01-02,0,0,0,0,0,42.5882713,-73.9740136
"18","Albany","2012-2013",2012-10-27,0,0,0,0,0,42.5882713,-73.9740136
"19","Albany","2015-2016",2016-07-16,0,0,0,0,0,42.5882713,-73.9740136
"20","Albany","2009-2010",2010-01-16,0,0,0,0,0,42.5882713,-73.9740136
"21","Albany","2011-2012",2011-12-03,0,0,0,0,0,42.5882713,-73.9740136
"22","Albany","2014-2015",2015-08-22,0,0,0,0,0,42.5882713,-73.9740136
"23","Albany","2010-2011",2011-01-08,10,0,0,0,0,42.5882713,-73.9740136
"24","Albany","2013-2014",2013-11-02,0,0,0,0,0,42.5882713,-73.9740136
"25","Albany","2016-2017",2017-07-22,0,0,0,0,0,42.5882713,-73.9740136
"26","Albany","2012-2013",2012-12-08,7,0,0,0,0,42.5882713,-73.9740136
"27","Albany","2015-2016",2016-08-27,0,0,0,0,0,42.5882713,-73.9740136
"28","Albany","2016-2017",2017-08-05,0,0,0,0,0,42.5882713,-73.9740136
"29","Albany","2011-2012",2012-01-14,0,0,0,0,0,42.5882713,-73.9740136
"30","Albany","2014-2015",2014-11-08,0,0,0,0,0,42.5882713,-73.9740136
"31","Albany","2017-2018",2018-07-28,0,0,0,0,0,42.5882713,-73.9740136
"32","Albany","2013-2014",2013-12-14,6,0,0,0,0,42.5882713,-73.9740136
"33","Albany","2016-2017",2017-09-02,0,0,0,0,0,42.5882713,-73.9740136
"34","Albany","2012-2013",2013-01-19,70,0,0,0,0,42.5882713,-73.9740136
"35","Albany","2015-2016",2015-11-14,0,0,0,0,0,42.5882713,-73.9740136
"36","Albany","2011-2012",2012-02-25,0,0,0,0,0,42.5882713,-73.9740136
"37","Albany","2018-2019",2019-08-03,0,0,0,2,2,42.5882713,-73.9740136
"38","Albany","2014-2015",2014-12-20,0,0,0,0,0,42.5882713,-73.9740136
"39","Albany","2014-2015",2015-04-18,0,0,0,0,0,42.5882713,-73.9740136
"40","Albany","2013-2014",2014-01-25,53,0,0,0,0,42.5882713,-73.9740136
"41","Albany","2016-2017",2016-11-19,1,0,0,0,0,42.5882713,-73.9740136
"42","Albany","2012-2013",2013-03-02,11,0,0,0,0,42.5882713,-73.9740136
"43","Albany","2015-2016",2015-12-26,0,0,0,0,0,42.5882713,-73.9740136
"44","Albany","2011-2012",2012-04-07,3,0,0,0,0,42.5882713,-73.9740136
"45","Albany","2018-2019",2019-09-14,0,0,0,1,1,42.5882713,-73.9740136
"46","Albany","2014-2015",2015-01-31,0,0,0,0,0,42.5882713,-73.9740136
"47","Albany","2017-2018",2017-11-25,1,0,0,0,0,42.5882713,-73.9740136
"48","Albany","2013-2014",2014-03-08,10,0,0,0,0,42.5882713,-73.9740136
"49","Albany","2016-2017",2016-12-31,16,0,0,0,0,42.5882713,-73.9740136
"50","Albany","2012-2013",2013-04-13,3,0,0,0,0,42.5882713,-73.9740136
"51","Albany","2015-2016",2016-02-06,7,0,0,0,0,42.5882713,-73.9740136
"52","Albany","2018-2019",2018-12-01,5,1,-4,1,-4,42.5882713,-73.9740136
"53","Albany","2014-2015",2015-03-14,0,0,0,0,0,42.5882713,-73.9740136
"54","Albany","2010-2011",2011-06-25,0,0,0,0,0,42.5882713,-73.9740136
"55","Albany","2017-2018",2018-01-06,63,0,0,0,0,42.5882713,-73.9740136
"56","Albany","2013-2014",2014-04-19,22,0,0,0,0,42.5882713,-73.9740136
"57","Albany","2016-2017",2017-02-11,63,0,0,0,0,42.5882713,-73.9740136
"58","Albany","2015-2016",2016-03-19,98,0,0,0,0,42.5882713,-73.9740136
"59","Albany","2011-2012",2012-06-30,0,0,0,0,0,42.5882713,-73.9740136
"60","Albany","2018-2019",2019-01-12,24,29,5,18,-6,42.5882713,-73.9740136
"61","Albany","2014-2015",2015-04-25,0,0,0,0,0,42.5882713,-73.9740136
"62","Albany","2010-2011",2011-08-06,0,0,0,0,0,42.5882713,-73.9740136
"63","Albany","2009-2010",2009-10-17,11,0,0,0,0,42.5882713,-73.9740136
"64","Albany","2016-2017",2017-03-25,35,0,0,0,0,42.5882713,-73.9740136
"65","Albany","2012-2013",2013-07-06,0,0,0,0,0,42.5882713,-73.9740136
"66","Albany","2015-2016",2016-04-30,36,0,0,0,0,42.5882713,-73.9740136
"67","Albany","2011-2012",2012-08-11,0,0,0,0,0,42.5882713,-73.9740136
"68","Albany","2018-2019",2019-02-23,81,27,-54,7,-74,42.5882713,-73.9740136
"69","Albany","2010-2011",2010-10-23,0,0,0,0,0,42.5882713,-73.9740136
"70","Albany","2017-2018",2018-03-31,38,0,0,0,0,42.5882713,-73.9740136
"71","Albany","2009-2010",2009-11-28,17,0,0,0,0,42.5882713,-73.9740136
"72","Albany","2016-2017",2017-05-06,4,0,0,0,0,42.5882713,-73.9740136
"73","Albany","2012-2013",2013-08-17,0,0,0,0,0,42.5882713,-73.9740136
"74","Albany","2015-2016",2016-06-11,0,0,0,0,0,42.5882713,-73.9740136
"75","Albany","2011-2012",2011-10-29,0,0,0,0,0,42.5882713,-73.9740136
"76","Albany","2014-2015",2015-07-18,0,0,0,0,0,42.5882713,-73.9740136
"77","Albany","2010-2011",2010-12-04,1,0,0,0,0,42.5882713,-73.9740136
"78","Albany","2017-2018",2018-05-12,11,0,0,0,0,42.5882713,-73.9740136
"79","Albany","2009-2010",2010-01-09,0,0,0,0,0,42.5882713,-73.9740136
"80","Albany","2012-2013",2012-11-03,0,0,0,0,0,42.5882713,-73.9740136
"81","Albany","2015-2016",2016-07-23,0,0,0,0,0,42.5882713,-73.9740136
"82","Albany","2009-2010",2010-01-23,0,0,0,0,0,42.5882713,-73.9740136
"83","Albany","2011-2012",2011-12-10,0,0,0,0,0,42.5882713,-73.9740136
"84","Albany","2014-2015",2015-08-29,0,0,0,0,0,42.5882713,-73.9740136
"85","Albany","2010-2011",2011-01-15,8,0,0,0,0,42.5882713,-73.9740136
"86","Albany","2013-2014",2013-11-09,0,0,0,0,0,42.5882713,-73.9740136
"87","Albany","2016-2017",2017-07-29,0,0,0,0,0,42.5882713,-73.9740136
"88","Albany","2012-2013",2012-12-15,24,0,0,0,0,42.5882713,-73.9740136
"89","Albany","2015-2016",2016-09-03,0,0,0,0,0,42.5882713,-73.9740136
"90","Albany","2016-2017",2017-08-12,0,0,0,0,0,42.5882713,-73.9740136
"91","Albany","2011-2012",2012-01-21,0,0,0,0,0,42.5882713,-73.9740136
"92","Albany","2014-2015",2014-11-15,0,0,0,0,0,42.5882713,-73.9740136
"93","Albany","2017-2018",2018-08-04,0,0,0,0,0,42.5882713,-73.9740136
"94","Albany","2013-2014",2013-12-21,6,0,0,0,0,42.5882713,-73.9740136
"95","Albany","2016-2017",2017-09-09,0,0,0,0,0,42.5882713,-73.9740136
"96","Albany","2012-2013",2013-01-26,41,0,0,0,0,42.5882713,-73.9740136
"97","Albany","2015-2016",2015-11-21,0,0,0,0,0,42.5882713,-73.9740136
"98","Albany","2011-2012",2012-03-03,0,0,0,0,0,42.5882713,-73.9740136
"99","Albany","2018-2019",2019-08-10,0,0,0,1,1,42.5882713,-73.9740136
"100","Albany","2014-2015",2014-12-27,0,0,0,0,0,42.5882713,-73.9740136
"101","Albany","2017-2018",2018-09-15,0,0,0,0,0,42.5882713,-73.9740136
"102","Albany","2013-2014",2014-02-01,45,0,0,0,0,42.5882713,-73.9740136
"103","Albany","2016-2017",2016-11-26,2,0,0,0,0,42.5882713,-73.9740136
"104","Albany","2012-2013",2013-03-09,10,0,0,0,0,42.5882713,-73.9740136
"105","Albany","2015-2016",2016-01-02,0,0,0,0,0,42.5882713,-73.9740136
"106","Albany","2011-2012",2012-04-14,5,0,0,0,0,42.5882713,-73.9740136
"107","Albany","2018-2019",2019-09-21,0,0,0,1,1,42.5882713,-73.9740136
"108","Albany","2014-2015",2015-02-07,0,0,0,0,0,42.5882713,-73.9740136
